unique_id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts,lat1,lon1,address1,lat2,lon2,address2,query_location,city,state
1240,Street Music,1981,,,Pacificon Films,Specialty Films,Jenny Bowen,Jenny Bowen,Elizabeth Daily,Larry Breeding,Ned Glass,21.0,36.0,10.0,,,,,,,,San Francisco,California
1246,The Fog of War,2003,,,Sony Pictures Classics,Sony Pictures Classics,Errol Morris,,Robert McNamara,,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1277,Panther,1995,,,Gramercy Pictures,PolyGram Video,Mario Van Peebles,Mario Van Peebles,Kadeem Hardison,Bookeem Woodbine,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1339,Big Trouble in Little China,1986,,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,John Carpenter,Gary Goldman,Kurt Russell,Kim Catrall,James Hong,21.0,36.0,10.0,,,,,,,,San Francisco,California
1367,"Yours, Mine and Ours",1968,,,Desilu Productions,United Artists,Melville Shavelson,"Bob Carroll, Jr.",Lucille Ball,Henry Fonda,Van Johnson,21.0,36.0,10.0,,,,,,,,San Francisco,California
1408,Thief of Hearts,1984,,,Paramount Pictures,Paramount Pictures,Douglas Day Stewart,Douglas Day Stewart,Steven Bauer,David Caruso,Barbara Williams,21.0,36.0,10.0,,,,,,,,San Francisco,California
1413,Tin Cup,1996,,,Regency Enterprises,Warner Bros. Pictures,Ron Shelton,John Norville,Kevin Costner,Rene Russo,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1416,Days of Wine and Roses,1962,,,Warner Bros. Pictures,Warner Bros. Pictures,Blake Edwards,JP Miller,Jack Lemmon,Lee Remick,Charles Bickford,21.0,36.0,10.0,,,,,,,,San Francisco,California
1417,Mona Lisa Smile,2003,,,Revolution Studios,Columbia Pictures,Mike Newell,Lawrence Konner,Julia Roberts,Kirsten Dunst,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1439,24 Hours on Craigslist,2005,,,Yerba Buena Productions,Zealot Pictures,Michael Ferris Gibson,,Craig Newmark,,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1656,The Doors,1991,,,Bill Graham Films,TriStar Pictures,Oliver Stone,J. Randal Johnson,Val Kilmer,Meg Ryan,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1739,Happy Gilmore,1996,,,Brillstein-Grey Entertainment,Universal Pictures,Dennis Dugan,Tim Herlihy,Adam Sandler,,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1742,They Call Me MISTER Tibbs,1970,,,Mirisch Corporation,United Artists,Gordon Douglas,Alan R. Trustman,Sidney Poitier,Martin Landau,Barbara McNair,21.0,36.0,10.0,,,,,,,,San Francisco,California
1784,Dying Young,1991,,,Twentieth Century Fox Corporation,Twentieth Century Fox Corporation,Joel Schumacher,Richard Friedenberg,Julia Roberts,Campbell Scott,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1787,Haiku Tunnel,2001,,,Hello Hooker Productions,Sony Pictures Classics,Jakob Kornbluth & Josh Kornbluth,Jakob Kornbluth & Josh Kornbluth,Josh Kornbluth,Warren Keith,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1795,48 Hours,1982,,,Paramount Pictures,Paramount Pictures,Walter Hill,Walter Hill,Nick Nolte,Eddie Murphy,Annette O'Toole,21.0,36.0,10.0,,,,,,,,San Francisco,California
1811,Rollerball,2002,,,Atlas Entertainment,MGM Home Entertainment,John McTiernan,William Harrison,Chris Klein,Jean Reno,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1826,The Last of the Gladiators,1988,,,Twin Tower Enterprises,Evel Videos,Martin Jay Sadoff,Martin Jay Sadoff,Evel Knievel,,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1913,Pretty Woman,1990,,,Touchstone Pictures,Buena Vista Pictures,Garry Marshall,J.F. Lawton,Richard Gere,Julia Roberts,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1915,Serendipity,2001,,,Miramax Films,Miramax Home Entertainment,Peter Chelsom,Marc Klein,John Cusack,Kate Beckinsale,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1926,James and the Giant Peach,1996,,,Skellington Productions,Walt Disney Studios Home Entertainment,Henry Selick,Karey Kirkpatrick,Richard Dreyfuss,Jane Leeves,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1950,Night of Henna,2005,,,Zee Films,Illuminare Entertainment,Hassan Zee,Hassan Zee,Joyce Carlin,Nancy Carlin,,21.0,36.0,10.0,,,,,,,,San Francisco,California
2031,Another 48 Hours,1990,,,Eddie Murphy Productions,Paramount Pictures,Walter Hill,Walter Hill,Eddie Murphy,Nick Nolte,,21.0,36.0,10.0,,,,,,,,San Francisco,California
1,Experiment in Terror,1962,The Sea Captain's Chest (Fisherman's Wharf),,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,99.0,23.0,3.0,,,,,,,Fisherman's Wharf,San Francisco,California
2,Experiment in Terror,1962,100 St. Germain Avenue,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,47.0,38.0,8.0,,,,,,,100 St. Germain Avenue,San Francisco,California
3,Chan is Missing,1982,"Li Po (916 Grant Avenue at Washington, Chinatown)",,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,Wood Moy,Marc Hayashi,Lauren Chew,104.0,6.0,3.0,,,,,,,916 Grant Avenue,San Francisco,California
4,A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,99.0,23.0,3.0,,,,,,,Fisherman's Wharf,San Francisco,California
7,I's,2011,1 Post Street,,Banshee Cinema,,Chris Edgette,Kyle Tuck,,,,19.0,8.0,3.0,,,,,,,1 Post Street,San Francisco,California
8,When We Rise,2017,Bay Bridge,,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,,,,,,,,,,Bay Bridge,San Francisco,California
9,Nash Bridges,2021,California Street at Davis,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,108.0,8.0,3.0,,,,,,,California Street & Davis,San Francisco,California
