unique_id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts,lat1,lon1,address1,lat2,lon2,address2,query_location,city,state
248,Nora Prentiss,1947,Belgravia Apartments (795 Sutter Street at Jones),,Warner Bros. Pictures,Warner Bros. Pictures,Vincent Sherman,N. Richard Nash,Ann Sheridan,Kent Smith,Bruce Bennett,50.0,21.0,3.0,,,,,,,795 Sutter Street,San Francisco,California
249,Shit and Champagne,2020,Castro btwn Market and 18th St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,115.0,5.0,5.0,,,,,,,Castro and Market,San Francisco,California
250,"Budding Prospects, Pilot",2017,Lucky Street,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,53.0,20.0,2.0,,,,,,,Lucky Street,San Francisco,California
251,"Smile Again, Jenny Lee",2015,City Hall,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,,,,,,,,,,City Hall,San Francisco,California
252,A Taiwanese Tale of Two Cities,2018,San Francisco City Hall,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,21.0,36.0,10.0,,,,,,,San Francisco City Hall,San Francisco,California
253,Sense8,2015,22nd St.,Driving shots,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,53.0,20.0,2.0,,,,,,,22nd St.,San Francisco,California
254,Beautiful Boy,2018,Tenderloin Neighborhood,,Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,20.0,36.0,10.0,,,,,,,Tenderloin Neighborhood,San Francisco,California
255,Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),"In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,6.0,29.0,4.0,,,,,,,1090 Point Lobos Avenue,San Francisco,California
256,"Smile Again, Jenny Lee",2015,1328 Portola,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,49.0,41.0,8.0,,,,,,,1328 Portola,San Francisco,California
257,Shit and Champagne,2020,Burns Pl. Alley at 11th St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,32.0,34.0,10.0,,,,,,,Burns Pl. Alley & 11th St,San Francisco,California
258,A Smile Like Yours,1997,Hills Brothers Plaza (Embarcadero at Harrison Street),,Paramount Pictures,Paramount Pictures,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,,30.0,8.0,10.0,,,,,,,Hills Brothers Plaza (Embarcadero & Harrison Street),San Francisco,California
259,The Enforcer,1976,Balmy Street (Mission District),,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino,53.0,20.0,2.0,,,,,,,Mission District,San Francisco,California
260,Jagged Edge,1985,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Columbia Pictures Corp.,Columbia Pictures,Richard Marquand,Joe Eszterhas,Glenn Close,Jeff Bridges,Peter Coyote,,,,,,,,,,Golden Gate Bridge,San Francisco,California
261,Ant-Man and the Wasp,2018,544 Jones,VFX Plate Shots,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,20.0,36.0,10.0,,,,,,,544 Jones,San Francisco,California
262,D.O.A,1950,Market & Steuart Streets (Financial District),,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,108.0,8.0,3.0,,,,,,,Financial District,San Francisco,California
263,Age of Adaline,2015,Driving various SF Streets,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,21.0,36.0,10.0,,,,,,,Driving various SF Streets,San Francisco,California
264,Chance- Season 1 ep107,2016,157 Commonwealth,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,11.0,31.0,6.0,,,,,,,157 Commonwealth,San Francisco,California
265,The Other Sister,1999,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Mandeville Films,Buena Vista Pictures,Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,,108.0,8.0,10.0,,,,,,,Transbay Terminal (Mission Street & 1st Street),San Francisco,California
266,Summertime,2015,Alamo Square,,"Creative Monster Productions, Inc.",7 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,22.0,9.0,11.0,,,,,,,Alamo Square,San Francisco,California
267,Greed,1924,Bush and Sutter Streets,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim,Zasu Pitts,Gibson Gowland,Jean Hersholt,103.0,30.0,6.0,,,,,,,Bush and Sutter Streets,San Francisco,California
268,The OA Part II,2019,Duncan St at Diamond Heights,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,57.0,22.0,5.0,,,,,,,Duncan St & Diamond Heights,San Francisco,California
269,Golden Gate,1994,Ross Alley (Chinatown),Ross Alley is the oldest alley in San Francisco.,American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Hwang,Matt Dillon,Joan Chen,,104.0,6.0,3.0,,,,,,,Chinatown,San Francisco,California
270,The Last Black Man in San Francisco,2019,Haight and Belvedere,,"LBMISF, LLC",A52,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,25.0,3.0,11.0,,,,,,,Haight and Belvedere,San Francisco,California
271,"Looking ""Special""",2016,"Capital Restaurant, 839 Clay Street","Russell Tovey originally auditioned for the role of Patrick, but was unsuccessful. After the show got picked up, the character of Kevin was written with him in mind.","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,104.0,6.0,3.0,,,,,,,839 Clay Street,San Francisco,California
272,Nash Bridges,2021,Jeremiah O'Brien ship at Pier 35,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,99.0,23.0,3.0,,,,,,,Jeremiah O'Brien ship at Pier 35,San Francisco,California
273,Surface,2022,Post Street between Montgomery and Kearny,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,19.0,8.0,3.0,,,,,,,Post Street and Montgomery,San Francisco,California
275,Tales of the City,2019,Grant and Green St,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,106.0,23.0,3.0,,,,,,,Grant and Green St,San Francisco,California
276,Bitter Melon,2018,788 Minna St,,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,32.0,34.0,10.0,,,,,,,788 Minna St,San Francisco,California
277,Terminator - Genisys,2015,Mission at 1st and 2nd,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,108.0,8.0,10.0,,,,,,,Mission at 1st and 2nd,San Francisco,California
278,The Bachelor,1999,Moose's Restaurant (1652 Stockton),,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,106.0,23.0,3.0,,,,,,,1652 Stockton,San Francisco,California
279,The Wedding Planner,2001,Pier 7 (The Embarcadero),,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,108.0,8.0,3.0,,,,,,,The Embarcadero,San Francisco,California
280,The Woman In Red,1984,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Orion Pictures Corp.,MGM Home Entertainment,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder,Charles Grodin,,17.0,13.0,6.0,,,,,,,3301 Lyon Street,San Francisco,California
282,Women is Losers,2020,44 Edna St,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,95.0,41.0,8.0,,,,,,,44 Edna St,San Francisco,California
283,Birdman of Alcatraz,1962,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Norma Productions,United Artists,John Frankenheimer,Guy Trosper,Burt Lancaster,Karl Maden,Thelma Ritter,,,,,,,,,,Alcatraz Island,San Francisco,California
284,Alive,2020,Palace of Fine Arts,,CBS Corporation - CBS Studios Inc./CBS Television Studios,CBS,Uta Briesewitz,Jason Tracey,Ryan Phillippe,Mageina Tovah,Katrina Law,17.0,13.0,6.0,,,,,,,Palace of Fine Arts,San Francisco,California
285,The Diary of a Teenage Girl,2015,Higher Grounds Coffee House,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,96.0,10.0,5.0,,,,,,,Higher Grounds Coffee House,San Francisco,California
286,DEVS,2020,Broadway btwn Polk and Kearny,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,106.0,23.0,3.0,,,,,,,Broadway and Polk,San Francisco,California
287,"Smile Again, Jenny Lee",2015,Kansas St at 17th St.,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,54.0,4.0,9.0,,,,,,,Kansas St & 17th St.,San Francisco,California
288,When a Man Loves a Woman,1994,Buena Vista Café (2765 Hyde Street),,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,98.0,32.0,6.0,,,,,,,2765 Hyde Street,San Francisco,California
289,The Diary of a Teenage Girl,2015,Presidio Branch Library,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,102.0,30.0,6.0,,,,,,,Presidio Branch Library,San Francisco,California
290,Nine Months,1995,Jones Street at Bush,,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,50.0,21.0,3.0,,,,,,,Jones Street & Bush,San Francisco,California
292,"Budding Prospects, Pilot",2017,3033 24th Street,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,53.0,20.0,2.0,,,,,,,3033 24th Street,San Francisco,California
293,Blue Jasmine,2013,SFO International Airport Terminal 3,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,,,,,,,,,,SFO International Airport Terminal 3,San Francisco,California
294,Edtv,1999,"Center for the Arts, Yerba Buena Gardens (701 Mission Street)",,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,,32.0,8.0,10.0,,,,,,,701 Mission Street,San Francisco,California
295,Romeo Must Die,2000,Embarcadero Street,,Silver Pictures,Warner Bros. Pictures,Andrzej Bartkowiak,Mitchell Kapner,Jet Li,Aaliyah,,31.0,8.0,10.0,,,,,,,Embarcadero Street,San Francisco,California
297,Guess Who's Coming to Dinner,1967,Sutter Street between Powell and Mason,,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,19.0,21.0,3.0,,,,,,,Sutter Street and Powell,San Francisco,California
298,Chu Chu and the Philly Flash,1981,22nd and Carolina Streets (Potrero Hill),,Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana,Alan Arkin,Carol Burnett,,54.0,26.0,9.0,,,,,,,Potrero Hill,San Francisco,California
299,The Phone/Jexi,2019,Embarcadero btwn Rincon Park and Pier 23,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,77.0,8.0,3.0,,,,,,,Embarcadero and Rincon,San Francisco,California
300,Terminator - Genisys,2015,Bush St. at Stockton St.,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,104.0,8.0,3.0,,,,,,,Bush St. & Stockton St.,San Francisco,California
301,Steve Jobs,2015,Castro St. between 21st an Hill St,,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,52.0,20.0,5.0,,,,,,,Castro St. and 21st,San Francisco,California
302,Etruscan Smile,2017,Turk Street between Mason & Leavenworth,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,20.0,36.0,10.0,,,,,,,Turk Street and Mason,San Francisco,California
303,"Murder in the First, Season 3",2016,Ivy Street between Laguna and Gough Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,21.0,9.0,11.0,,,,,,,Ivy Street and Laguna,San Francisco,California
304,The Phone/Jexi,2019,California btwn Taylor and Drumm - Cable Car Line,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,108.0,8.0,3.0,,,,,,,California and Taylor,San Francisco,California
305,The Internship,2013,Montgomery and Union St.,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne,18.0,23.0,3.0,,,,,,,Montgomery and Union St.,San Francisco,California
306,Sudden Impact,1983,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle,16.0,21.0,3.0,,,,,,,950 Mason Street,San Francisco,California
307,Quitters,2015,Cal-Mart Supermarket,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,11.0,31.0,6.0,,,,,,,Cal-Mart Supermarket,San Francisco,California
308,Nash Bridges,2021,Pontiac Alley at Jackson,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,104.0,6.0,3.0,,,,,,,Pontiac Alley & Jackson,San Francisco,California
309,What's Up Doc?,1972,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Warner Bros. Pictures,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand,Ryan O'Neal,,104.0,6.0,3.0,,,,,,,Chinatown,San Francisco,California
310,"Murder in the First, Season 3",2016,Pier 96,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,56.0,1.0,9.0,,,,,,,Pier 96,San Francisco,California
311,Americana,2015,Palace of Fine Arts,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,17.0,13.0,6.0,,,,,,,Palace of Fine Arts,San Francisco,California
312,Looking Season 2 ep 205,2015,534 Hyde Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,20.0,36.0,10.0,,,,,,,534 Hyde Street,San Francisco,California
313,Big Eyes,2014,Harry's Bar on Fillmore,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,102.0,30.0,6.0,,,,,,,Harry's Bar on Fillmore,San Francisco,California
314,Sister Act 2: Back in the Habit,1993,CCSF Alemany Campus,,Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,80.0,28.0,1.0,,,,,,,CCSF Alemany Campus,San Francisco,California
315,The Presidio,1988,900 Block of Grant Avenue (Chinatown),,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,104.0,6.0,3.0,,,,,,,Chinatown,San Francisco,California
316,Petulia,1968,"Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park","The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden",Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,Richard Lester,Lawrence B. Marcus,Julie Christie,George C. Scott,Richard Chamberlain,9.0,12.0,4.0,,,,,,,Golden Gate Park,San Francisco,California
317,Chance Season 2,2017,Mason between Sacramento and California St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,4.0,11.0,4.0,,,,,,,Mason and Sacramento,San Francisco,California
318,Goliath- Season 4,2021,California and Mason,,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,16.0,21.0,3.0,,,,,,,California and Mason,San Francisco,California
319,Under the Tuscan Sun,2003,Mecca Restaurant (2029 Market Street),,Touchstone Pictures,Buena Vista Pictures,Audrey Wells,Audrey Wells,Diane Lane,Sandra Oh,,37.0,5.0,5.0,,,,,,,2029 Market Street,San Francisco,California
320,Blue Jasmine,2013,200 Post St.,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,19.0,8.0,3.0,,,,,,,200 Post St,San Francisco,California
321,Forrest Gump,1994,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Paramount Pictures,Paramount Pictures,Robert Zemeckis,Eric Roth,Tom Hanks,Robin Wright,,17.0,13.0,6.0,,,,,,,3301 Lyon Street,San Francisco,California
322,The Phone/Jexi,2019,"W Hotel, Trace bar - 181 3rd St.",,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,32.0,8.0,10.0,,,,,,,181 3rd St,San Francisco,California
323,Phenomenon,1996,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Touchstone Pictures,Buena Vista Pictures,Jon Turteltaub,Gerald Dipego,John Travolta,Kyra Sedgwick,,36.0,37.0,10.0,,,,,,,Treasure Island,San Francisco,California
324,Milk,2008,29th and Dolores Street,,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,84.0,22.0,5.0,,,,,,,29th and Dolores Street,San Francisco,California
325,Shit and Champagne,2020,57 Taylor St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,20.0,36.0,10.0,,,,,,,57 Taylor St,San Francisco,California
326,Chance- Season 1 ep103,2016,60 Leavenworth St.,,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,20.0,36.0,10.0,,,,,,,60 Leavenworth St,San Francisco,California
327,Cardinal X,2015,Lyon at Chestnut St.,,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,14.0,13.0,6.0,,,,,,,Lyon & Chestnut St.,San Francisco,California
328,"Budding Prospects, Pilot",2017,1641 York Street,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,60.0,2.0,2.0,,,,,,,1641 York Street,San Francisco,California
329,"Play it Again, Sam",1972,Aquatic Park (Jefferson Street),"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,99.0,23.0,3.0,,,,,,,Aquatic Park (Jefferson Street),San Francisco,California
330,The Jazz Singer,1927,Coffee Dan's (O'Farrell Street at Powell),,Warner Bros. Pictures,Warner Bros. Pictures,Alan Crosland,Alfred A. Cohn,Al Jolson,May McAvoy,Warner Oland,19.0,8.0,3.0,,,,,,,Coffee Dan's (O'Farrell Street & Powell),San Francisco,California
331,Looking Season 2 ep 208,2015,"Citizens Band, 1198 Folsom Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,32.0,34.0,10.0,,,,,,,1198 Folsom Street,San Francisco,California
332,"Smile Again, Jenny Lee",2015,"Fairmont Hotel (950 Mason Street, Nob Hill)",,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,16.0,21.0,3.0,,,,,,,950 Mason Street,San Francisco,California
333,Surface,2022,Bay Street between Larkin and Hyde,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,107.0,32.0,6.0,,,,,,,Bay Street and Larkin,San Francisco,California
334,The Diary of a Teenage Girl,2015,Victoria Theatre,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,53.0,20.0,2.0,,,,,,,Victoria Theatre,San Francisco,California
335,A Taiwanese Tale of Two Cities,2018,Civic Center Plaza,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,21.0,36.0,10.0,,,,,,,Civic Center Plaza,San Francisco,California
336,The Dead Pool,1988,One Thousand Powell Apartments (1000 Powell Street),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,104.0,6.0,3.0,,,,,,,1000 Powell Street,San Francisco,California
337,180,2011,Justin Herman Plaza,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,108.0,8.0,3.0,,,,,,,Justin Herman Plaza,San Francisco,California
338,Shit and Champagne,2020,1090 Eddy St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,100.0,39.0,11.0,,,,,,,1090 Eddy St,San Francisco,California
339,Pushing Dead,2016,Koshland Park,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,26.0,9.0,11.0,,,,,,,Koshland Park,San Francisco,California
340,Dirty Harry,1971,"California Hall (625 Polk Street, Van Ness/Civic Center)",,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,20.0,36.0,10.0,,,,,,,625 Polk Street,San Francisco,California
341,Godzilla,2014,Pier 1,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,77.0,8.0,3.0,,,,,,,Pier 1,San Francisco,California
342,Vertigo,1958,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,16.0,21.0,3.0,,,,,,,950 Mason Street,San Francisco,California
343,Jade,1995,Washington Square (North Beach),"Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach.",Paramount Pictures,Paramount Pictures,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri,3.0,27.0,6.0,,,,,,,North Beach,San Francisco,California
344,Chance - Season 1 ep105,2016,"The Drew School, 2901 California",,TVM Productions,HULU,Victoria Morrow,Roxann Dawson,Hugh Laurie,Gretchen Mol,Ethan Suplee,103.0,30.0,6.0,,,,,,,"The Drew School, 2901 California",San Francisco,California
345,Etruscan Smile,2017,"Bentley Reserve, 301 Battery Street","The Bentley Reserve is the former San Francisco Federal Reserve. Designed by architect George W. Kelham and completed in 1924, the building has been a prominent landmark of the Financial District for 89 years.","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,108.0,6.0,3.0,,,,,,,301 Battery Street,San Francisco,California
346,Looking,2014,BART from Civic Center to 24th St.,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,21.0,36.0,10.0,,,,,,,BART from Civic Center to 24th St.,San Francisco,California
347,Foul Play,1978,Fort Mason (Golden Gate National Recreation Area),"Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,98.0,13.0,6.0,,,,,,,Golden Gate National Recreation Area,San Francisco,California
348,Sweet November,2001,"Foote, Cone & Belding (733 Front Street at Pacific)","The building is called ""Jabe & Dunne Advertising Agency"" in the movie.",Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,77.0,8.0,3.0,,,,,,,733 Front Street,San Francisco,California
